2018-04-25 14:35:02,161 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.myjourney:Journey1:0.0.1-SNAPSHOT @ C:\Max Workspace\Journey1\pom.xml.
2018-04-29 19:11:44,998 [Worker-571] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 19:11:45,001 [Worker-571] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-29 19:11:45,002 [Worker-571] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 19:11:45,003 [Worker-571] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-29 19:13:33,694 [Worker-569] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 19:13:33,696 [Worker-569] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-29 19:13:33,697 [Worker-569] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-29 19:13:33,698 [Worker-569] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-30 12:50:20,979 [Worker-589] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-30 12:50:20,982 [Worker-589] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-30 12:50:20,986 [Worker-589] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-30 12:50:20,988 [Worker-589] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-30 17:26:18,659 [Worker-620] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-30 17:26:18,662 [Worker-620] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-30 17:26:18,663 [Worker-620] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-30 17:26:18,665 [Worker-620] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-30 17:31:36,282 [Worker-618] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-30 17:31:36,285 [Worker-618] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-30 17:31:36,286 [Worker-618] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-30 17:31:36,287 [Worker-618] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-30 19:39:06,272 [Worker-669] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-30 19:39:06,281 [Worker-669] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-30 19:39:06,283 [Worker-669] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-30 19:39:06,284 [Worker-669] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-01 12:59:48,213 [Worker-697] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
